"language"	"langcode"	"family"	"location"	"core inventory"	"marginal inventory"	"reference"
"Ibilo"	"IBIL"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,t̂,k̂,k̂͡p̂,ʊ,b̂,d̂,ɡ̂,ɡ̂͡b̂,e,o,ts,ɛ,ɔ,dz,a,f,s,ʃ,h,v,v̤,z̤,ʒ̤,h̃,m,n,ɲ,ŋʷ,m̂,n̂,m̤,n̤,r,l,j,w,ɺ,l̤,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Icen"	"ICEN"	"NIGER-CONGO"	"Nigeria"	"p,t,k,ts,b,d,ɡ,i,ĩ,ɨ,ɨ̃,u,ũ,f,s,ɛ,ɛ̃,ɔ,ɔ̃,v,z,a,ã,m,n,ŋ,r,l,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Igbo"	"IGBO"	"NIGER-CONGO"	"Nigeria"	"p,t,k,kʷ,b,d,ɡ,ɡʷ,i,u,k͡p,ɪ,ʊ,ɡ͡b,e,o,f,s,h,a,ɔ,v,z,ɣ,m,n,ɲ,ŋ,ŋʷ,r,l,j,w,"		"Emananjro, E. Nolue (1978) Elements of Modern Igbo Grammar: A Descriptive Approach. Ibadan: Oxford University Press."
"Ijo, Kolokuma dialect"	"IJOK"	"NIGER-CONGO"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,f,s,ɪ,ʊ,v,z,e,o,m,n,ŋ,ɛ,ɔ,l,a,ɾ,j,w,"		"Williamson, Kay (1965) A Grammar of the Kolokuma Dialect of Ijo. Cambridge: Cambridge University Press."
"Ikalanga (Kalanga)"	"IKAL"	"NIGER-CONGO (Bantu)"	"Botswana and Zimbabwe"	"pʰ,t̪ʰ,tʰ,kʰ,kʰʷ,p͡kʰ,pɦ,tɦ,kʷɦ,b͡ɡ,p,t̪,k,kʷ,i,u,b,d̪,d,dʷ,ɡ,ɡʷ,e,o,t̪s̪,t̪s̪ʰ,t̪s̪ʰʷ,tʃ,a,d̪z̪,t̪s̪ɦ,d̪z̪ʷ,dʒ,tʃɦ,f,s,sʷ,ʃ,ʃʷ,v,z,zʷ,ʒ,ɦ,m,n,ɲ,ŋ,b,ⁿd,ⁿdʒ,ɡ,r,l,ʋ,j,w,wɦ,"	"tʰʷ,ps,tʃʼ,bz,"	"Mathingwane, Joyce T. (1999) Ikalanga Phonetics and Phonology: A Synchronic and Diachronic Study. Stanford, CA: CSLI Publications."
"Ilocano"	"ILOC"	"AUSTRONESIAN"	"Philippines"	"p,t̪,k,ʔ,b,d̪,ɡ,i,ɯ,u,s,ɛ,o,m,n̪,ŋ,a,l,r,w,j,"	"h,"	"Rubino, Carl Ralph Galvez (2000) Ilocano Dictionary and Grammar. University of Hawai’i Press."
"Indonesian"	"BAHA"	"AUSTRONESIAN"	"Indonesia"	"p,t,tʃ,k,ʔ,b,d,dʒ,ɡ,s,h,i,u,e,ə,o,m,n,ɲ,ŋ,a,l,r,w,j,"	"f,ʃ,x,z,"	"Lapowila, Hans (1981) A Generative Approach to the Phonology of Bahasa Indonesia. Canberra: Pacific Linguistics."
"Ingessana"	"INGE"	"NILO-SAHARAN"	"Sudan"	"p,t̪,t̪ʃ,k,b,d̪,d̪ʒ,ɡ,i,iː,u,uː,f,s̪,e,eː,ə,əː,o,oː,m,n̪,ɲ,ŋ,a,aː,l̪θ,l̪,r̪,w,j,"		"Crewe, W. J. (1975) The Phonological Features of the Ingessana Language. University of Khartoum: Institute of African and Asian Studies."
"Inor (dialect of West Gurage)"	"INOR"	"AFRO-ASIATIC (Semitic)"	"Ethiopia"	"t,k,tʼ,kʼ,ʔ,i,ɨ,u,b,d,ɡ,e,ə,o,f,ʃ,x,æ,a,z,m,n,l,r,ɥ,j,"		"Chamora, Berhanu, and Robert Hetzron (2000) Inor. Muenchen: Lincom Europa."
"Inuktitut, West Greenlandic"	"INUK"	"ESKIMO-ALEUT"	"Greenland and Denmark"	"p,t,k,q,s,i,u,v,ʝ,ɣ,ʁ,a,m,n,ŋ,l,"	"h,"	"Fortescue, Michael (1984) West Greenlandic. Sydney: Croom Helm Descriptive Grammars."
"Inupiaq, Barrow (North Alaskan Inupiatun)"	"INUP"	"ESKIMO-ALEUT"	"USA (Alaska)"	"p,t,k,q,s,x,χ,h,i,u,v,ɣ,ʁ,a,ɬ,ʎ̥,l,ʎ,m,n,ɲ,ŋ,r,j,"		"Kaplan, Lawrence D. (1981) Phonological Issues in North Alaskan Inupiaq. Alaska Native Language Center Research Papers."
"Iraqw"	"IRAQ"	"AFRO-ASIATIC (Cushitic)"	"Tanzania"	"p,t,k,q,ʔ,b,d,ɡ,ʕ,iː,uː,ts,tʃ,tɬ,i,u,dʒ,eː,oː,f,s,ʃ,ɬ,x,ħ,h,e,o,m,n,ɲ,ŋ,ɴ,aː,l,a,r,w,j,"		"Nordbustad, Frøydis (1988) Iraqw grammar: an analytical study of the Iraqw. Berlin: D. Reimer."
"Irish (Irish Gaelic)"	"IRIS"	"INDO-EUROPEAN (Celtic)"	"Ireland, UK"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (Connacht (except Cois Fhairrge))"	"IRCE"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (Connacht)"	"IRCC"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (Connemara dialect)"	"IRCM"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (Donegal)"	"IRDO"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (Munster)"	"IRMU"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (certain Donegal dialects)"	"IRCD"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (eastern area of Gweedore)"	"IREG"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (except Donegal)"	"IRED"	"INDO-EUROPEAN (Celtic)"	"Ireland, UK"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (in Clare)"	"IRRC"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (in Dunquin)"	"IRDU"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (in Gweedore)"	"IRGW"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (in Muskerry)"	"IRMS"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (in Ring)"	"IRMR"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (in South Connacht)"	"IRSC"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (in parts of Munster)"	"IRCP"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irish (Irish Gaelic) (some Munster dialects)"	"IRSM"	"INDO-EUROPEAN (Celtic)"	"Ireland"	"p,pʲ,t,tʲ,k,kʲ,b,bʲ,d,dʲ,ɡ,ɡʲ,iː,uː,f,fʲ,s,sʲ,x,xʲ,h,hʲ,i,u,vʲ,ṽʲ,ɣ,eː,oː,m,mʲ,n,nʲ,n̟,n̟ʲ,e,ə,o,l,lʲ,l̟,l̟ʲ,aː,r,rʲ,r̟,r̟ʲ,a,w,w̃,j,"		"Ó Siadhail, Mícheál (1989) Modern Irish: Grammatical structure and dialectal variation. New York: Cambridge University Press."
"Irula"	"IRUL"	"DRAVIDIAN"	"India"	"p,t̪,t,ʈ,tʃ,k,b,d̪,d,ɖ,dʒ,ɡ,i,ɨ,ʉ,u,m,n,ɳ,e,ə,ɵ,o,a,r̪,r,ɽ,v,l,ɭ,j,"		"Zvelebil, Kamil V. (1973) The Irula Language. Weisbaden: Otto Harrassowitz."
"Isoko (Uzere dialect)"	"ISOK"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t̪,t,k,ɓ̥ˠ,b,d̪,d,ɡ,ɡ͡b,i,u,f,s,h,ɪ,ʊ,v,z,ɣ,ɣʷ,e,o,m,ɲ͡n̪,n,ŋʷ,ɛ,ɔ,l,a,ɾˡ,ʋ,ɹ,j,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Italian"	"ITAL"	"INDO-EUROPEAN (Italic)"	"Italy, France, Switzerland, Croatia"	"p,t,c,k,b,d,ɟ,ɡ,i,u,f,s,ʃ,e,o,v,ʒ,ɛ,ɔ,m,n,ɲ,a,l,ʎ,r,"		"Castiglione, Pierina Borrani (1957) Italian Phonetics, Diction and Intonation. New York: S. F. Vanni."
"Izi"	"IZIX"	"NIGER-CONGO"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,pf,ts,ɪ,ʊ,bv,dz,e,o,ɸ,s,x,ɛ,ɔ,v,z,ɣ,a,m,n,ŋ,ŋ͡m,l,w,ɹ,j,"		"Meier, Paul, Inge Meier, and John Bendor-Samuel (1975) A Grammar of Izi: An Igbo Language. Norman: Summer Institute of Linguistics."
"Jacaltec"	"JACA"	"MAYAN"	"Guatemala"	"p,t,k,ʔ,tʼ,kʼ,qʼ,i,u,bʼ,e,o,a,ts,tʃ,ʈʂ,tsʼ,tʃʼ,ʈʂʼ,f,s,ʃ,ʂ,χ,h,m,n,ŋ,l,r,w,j,"	"b,d,ɡ,x,"	"Day, Christopher (1973) The Jacaltec Language. Bloomington and The Hague: Indiana University and Mouton & Co."
"Jamaican Creole (Southwestern Caribbean Creole English)"	"JAMA"	"CREOLE"	"Jamaica"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,f,s,ʃ,h,e,o,v,z,a,m,n,ŋ,l,iː,uː,r,aː,w,j,"		"Bailey, Beryl Loftman (1966) Jamaican Creole Syntax: A Transformational Approach. Cambridge: Cambridge University Press."
"Japanese"	"JAPA"	"JAPANESE"	"Japan, etc."	"p,t,k,iː,ɯː,b,d,ɡ,i,ɯ,s,ʃ,h,eː,oː,z,e,o,m,n,aː,ɾ,a,j,ɰ,"		"Vance, Timothy J. (1987) An introduction to Japanese phonology. Albany, N.Y.: State University of New York Press."
"Jaqaru"	"JAQA"	"AYMARAN"	"Peru"	"pʰ,tʰ,cʰ,kʰ,qʰ,p,t,c,k,q,i,u,pʼ,tʼ,cʼ,kʼ,qʼ,a,tsʰ,cçʰ,ʈʂʰ,ts,cç,ʈʂ,tsʼ,cçʼ,ʈʂʼ,s,ɕ,ç,m,n,ɲ,ŋ,l,ʎ,ɾ,w,j,"		"Hardman, MJ (2000) Jaqaru. Muenchen: Lincom Europa."
"Javanese"	"JAVA"	"AUSTRONESIAN"	"Indonesia and Malaysia"	"p,t,ʈ,tʃ,k,ʔ,b,d,ɖ,dʒ,ɡ,i,u,s,h,e,o,m,n,ɲ,ŋ,ʌ,l,ɛ,ɔ,r,a,w,j,"		"Suharno, Ignatius (1982) A Descriptive Study of Javanese. Canberra: Pacific Linguistics."
"Jiru (Wuyar)"	"JIRU"	"NIGER-CONGO"	"Nigeria"	"p,t,k,ts,b,d,ɟ,ɡ,ɡ͡b,i,u,f,θ,s,ʃ,h,ɨ,v,ð,z,ʒ,ɛ,ɔ,m,n,ɲ,ŋ,N?,a,ɾ,l,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Jukun (Jukun Takum)"	"JUKU"	"NIGER-CONGO"	"Nigeria and Cameroon"	"p,t,k,k͡p,ts,b,d,ɡ,ɡ͡b,i,ĩ,u,ũ,dz,e,ẽ,o,õ,f,s,h,a,ã,v,z,m,n,ŋ,r,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Jukun (Jukun Takum) (Wukari dialect)"	"JUKW"	"NIGER-CONGO"	"Nigeria"	"p,t,k,k͡p,ts,b,d,ɡ,ɡ͡b,i,ĩ,u,ũ,dz,e,ẽ,o,õ,f,s,h,a,ã,v,z,m,n,ŋ,r,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Kabardian"	"KABA"	"NORTH CAUCASIAN"	"Russia and Turkey"	"p,t,ts,c,kʷ,q,qʷ,ʔ,ʔʷ,b,d,dz,ɟ,ɡʷ,ɨ,pʼ,tʼ,tsʼ,cʼ,kʼʷ,qʼ,qʼʷ,ə,f,s,ʃ,ɬ,ɕ,x,xʷ,χ,χʷ,ħ,h,a,v,z,ʒ,ɮ,ʑ,ɣ,ʁ,ʁʷ,fʼ,ʃʼ,ɬʼ,m,n,r,w,"		"Colarusso, John (1988) The Northwest Caucasian Languages: A Phonological Survey. New York: Garland Publishing."
"Kalenjin"	"KALE"	"NILO-SAHARAN"	"Kenya"	"p,t,cç,k,i,iː,u,uː,s,ɪ,ɪː,ʊ,ʊː,m,n,ɲ,ŋ,e,eː,o,oː,l,ɛ,ɛː,ɔ,ɔː,r,a,aː,ɑ,ɑː,j,w,"		"Toweett, Taaitta (1979) A Study of Kalenjin Linguistics. Nairobi: Kenya Literature Bureau."
"Kalenjin, Nandi"	"KALN"	"NILO-SAHARAN"	"Kenya"	"p,t,c,k,i,u,s,ɪ,ʊ,m,n,ɲ,ŋ,e,o,l,ɛ,ɔ,r,a,w,j,a̞,"		"Creider, Chet A. and Jane Tapsubei Creider (1989) A Grammar of Nandi. Hamburg: Helmut Buske Verlag."
"Kalispel (dialect of Kalispel-Pend d'Oreille)"	"KALI"	"SALISHAN"	"USA"	"p,t,tɬ,kʷ,q,qʷ,pʼ,tʼ,tɬʼ,kʼʷ,qʼ,qʼʷ,i,ə,u,ts,tʃ,e,a,o,tsʼ,tʃʼ,s,ʃ,ɬ,xʷ,χ,χʷ,h,m,n,mʼ,n’,l,lʼ,j,w,jʼ,wʼ,"		"Vogt, Hans (1940) The Kalispel Language, An Outline of the Grammar with Texts, Translations, and Dictionary. Oslo: I Kommisjon Hos Jacob Dybwad."
"Kamba"	"KAMB"	"NIGER-CONGO (Bantu)"	"Kenya"	"t,k,b,d,ɡ,ɢ,i,u,θ,s,ɪ,ʊ,β,ð,ʒ,ɣ,e,ə,ɵ,o,æ,a,m,n,n̻,l,w,j,ɥ,ɰ,"	"p,"	"Lindblom, Gerhard (1925) Notes on the Kamba Language. Upsala: Appelbergs Boktryckeri Aktiebolag."
"Kana (Khana)"	"KANA"	"NIGER-CONGO"	"Nigeria"	"p,t,k,kʷ,k͡p,ĩ,ũ,b,d,dʒ,ɡ,ɡʷ,ɡ͡p,i,u,f,s,h,e,o,m,n,ɲ,ŋ,ŋʷ,ɛ̃,ɔ̃,r,ɛ,ɔ,l,ã,w,j,a,"		"Ikoro, Suano M. (1996) The Kana Language. Leiden: Research School CNWS."
"Kanakuru"	"KANK"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"p,t,k,kʷ,b,d,dʷ,ɟ,ɡ,ɡʷ,b,ⁿd,ⁿɟ,ɡ,ɡʷ,i,ə,u,ɓ,ɓʷ,ɗ,ɗʷ,e,a,o,ç,çʷ,ɣ,m,n,ɲ,ŋ,l,w,ɹ,j,"		"Newman, Paul (1974) The Kanakuru Language. Ilkley: The Scolar Press Ltd."
"Kannada"	"KANN"	"DRAVIDIAN"	"India"	"pʰ,t̪ʰ,ʈʰ,kʰ,p,t̪,ʈ,t̻ʃ̻,k,iː,uː,bʰ,d̪ʰ,ɖʰ,ɡʰ,i,u,b,d̪,ɖ,d̻ʒ̻,ɡ,eː,oː,f,s,ʂ,s̻,h,e,o,z,aː,m,n,ɳ,æ,a,r,w,l̪,ɭ,j,"		"Sridhar, S. N. (1990) Kannada. New York: Routledge."
"Kanuri"	"KANU"	"NILO-SAHARAN"	"Nigeria, Sudan, Chad, Niger, and Cameroon"	"p,t,tʃ,k,ʔ,b,d,dʒ,ɡ,i,u,f,s,ʃ,h,e,ə,o,z,ʌ,m,n,a,l,r,w,j,"		"Cyffer, Norbert (1998) A Sketch of Kanuri. Köln: Rüdiger Köppe Verlag."
"Kapampangan"	"KAPA"	"AUSTRONESIAN"	"Philippines"	"p,t,k,ʔ,b,d,ɡ,i,u,s,e,o,a,m,n,ŋ,l,ɺ,w,j,"	"tʃ,dʒ,f,h,v,"	"Forman, Michael L. (1971) Kapampangan Grammar Notes. Honolulu: University of Hawaii Press."
"Karanga (Central dialect)"	"KARC"	"NILO-SAHARAN"	"Chad"	"p,t,k,b,d,ɡ,i,y,u,f,s,s̪v,ʃ,x,e,o,v,z,z̪v,ʒ,ɣ,ɦ,a,m,n,ŋ,r,w,j,"		"Marconnès, Rev. Francisque (1931) A Grammar of Central Karanga. Johannesburg: Witwatersrand University Press."
"Karanga (Victoria dialect)"	"KARV"	"NILO-SAHARAN"	"Chad"	"p,t,k,b,d,ɡ,i,y,u,f,s,s̪v,ʃ,x,e,o,v,z,z̪v,ʒ,ɣ,ɦ,a,m,n,ŋ,r,w,j,"		"Marconnès, Rev. Francisque (1931) A Grammar of Central Karanga. Johannesburg: Witwatersrand University Press."
"Karao"	"KARA"	"AUSTRONESIAN"	"Philippines"	"p,t,tʃ,k,ʔ,b,d,dʒ,i,ɨ,o,ɡʷ,a,s,m,n,ŋ,"		"Brainard, Sherri (1994) The Phonology of Karao, The Philippines. Canberra: Pacific Linguistics."
"Karimojong (Karamojong)"	"KARI"	"NILO-SAHARAN"	"Uganda"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,y,u,s,ɪ,ɵ,ʊ,ð,z,ɣ,e,o,m,n,ɲ,ŋ,ɛ,œ,ɔ,l,a,ɑ,r,w,j,"		"Novelli, Bruno (1985) A Grammar of the Karimojong Language. Berlin: Dietrich Reimer Verlag."
"Karo Batak"	"KARO"	"AUSTRONESIAN"	"Indonesia"	"p,t̪,tʃ,k,b,d,dʒ,ɡ,i,ɯ,u,s,h,e,ə,o,m,n,ŋ,a,l,r,w,j,"		"Woollams, Geoff (1996) A Grammar of Karo Batak, Sumatra. Canberra: Pacific Linguistics."
"Kashaya"	"KASH"	"HOKAN"	"USA"	"pʰ,t̪ʰ,tʰ,cʰ,kʰ,qʰ,p,t̪,t,c,k,q,ʔ,i,u,pʼ,t̪ʼ,tʼ,cʼ,kʼ,qʼ,e,o,s,ʃ,h,a,sʼ,mʰ,nʰ,m,n,mʼ,n’,wʰ,lʰ,jʰ,w,l,j,wʼ,lʼ,jʼ,"		"Buckley, Eugene (1994) Theoretical Aspects of Kashaya Phonology and Morphology. Stanford, CA: CSLI Publications."
"Kashmiri"	"KASM"	"Indo-Aryan"	"India and Pakistan"	"pʰ,pʲʰ,tʰ,tʲʰ,ʈʰ,ʈʲʰ,kʰ,kʰʲ,p,pʲ,t,tʲ,ʈ,ʈʲ,k,kʲ,ĩː,ɨ̃ː,ũ,ũː,b,bʲ,d,dʲ,ɖ,ɖʲ,ɡ,ɡʲ,i,iː,ɨ,ɨː,u,uː,tsʰ,tsjʰ,cçʰ,ẽ,ẽː,ə̃,ə̃ː,õ,õː,ts,tsʲ,cç,e,eː,ə,əː,o,oː,ɟʝ,ã,ãː,ɔ̃,s,sʲ,ç,h,hʲ,a,aː,ɔ,ɔː,z,zʲ,m,mʲ,n,nʲ,l,lʲ,ɾ,ɾʲ,ʋ,ʋʲ,j,"		"Wali, Kashi, and Omkar N. Koul (1997) Kashmiri. New York: Routledge."
